"Vorname";"Nachname";"Jahrgang";"Partei";"Wahlkreis";"Bundesland";"Listenplatz";
"Sebastian";"Lenk";1982;"CDU";;"Thueringen";13;
"Ralph";"Lenkert";1967;"DIE LINKE";194;"Thueringen";1;
"Juergen";"Lenz";1960;;168;;;
"Ingrid";"Lenz-Aktas";1961;"SPD";222;"Bayern";36;
"Dr. Elke";"Leonhard";1949;"SPD";203;"Rheinland-Pfalz";12;
"Gino";"Leonhard";1972;"FDP";15;;;
"Sabine";"Leopold";1958;"MLPD";;"Nordrhein-Westfalen";22;
"Helga";"Lerch";1955;"FDP";;"Rheinland-Pfalz";19;
"Maximilian";"Leucht";1979;"FDP";223;"Bayern";23;
"Bernhard";"Leusmann";1935;"ADM";;"Baden-Wuerttemberg";2;
"Michael Gerhard";"Leutert";1974;"DIE LINKE";163;"Sachsen";6;
"Sabine";"Leutheusser-Schnarrenberger";1951;"FDP";224;"Bayern";1;
"Christopher";"Lewis";1945;"BueSo";;"Hessen";6;
"Dr. Ursula";"Leyen von der";1958;"CDU";43;"Niedersachsen";1;
"Rainer";"Leyendecker";1956;;271;;;
"Robert";"Lieb";1963;"REP";;"Bayern";24;
"Maria";"Liebeck";1957;"CDU";;"Nordrhein-Westfalen";58;
"Marc";"Liebehenz";1977;"FDP";126;"Nordrhein-Westfalen";49;
"Fritz";"Liebenow";1949;"NPD";80;;;
"Werner Hans";"Liebhart";1963;"FDP";;"Bayern";51;
"Stefan";"Liebich";1972;"DIE LINKE";77;"Berlin";4;
"Ingbert";"Liebing";1963;"CDU";2;"Schleswig-Holstein";7;
"Hans Dieter";"Liederwald";1964;"DVU";;"Rheinland-Pfalz";1;
"Ulrike";"Liedy";1960;"FAMILIE";;"Rheinland-Pfalz";5;
"Lore";"Lierse";1955;"NPD";59;"Brandenburg";6;
"Matthias";"Lietz";1953;"CDU";16;"Mecklenburg-Vorpommern";3;
"Ulrike";"Lillge";1950;"BueSo";;"Brandenburg";1;
"Dr. Wolfgang";"Lillge";1950;"BueSo";87;"Berlin";3;
"Kai";"Limmer";1978;"NPD";237;;;
"Hendrik";"Lindemann";1964;"FDP";250;"Bayern";58;
"Lars Friedrich";"Lindemann";1971;"FDP";;"Berlin";2;
"Thomas";"Lindemann";1980;"NPD";71;;;
"Hans";"Linden";1936;"Volksabst.";;"Nordrhein-Westfalen";4;
"Andrea";"Lindholz";1970;"CSU";;"Bayern";29;
"Manuel";"Lindlar";1988;"DIE LINKE";102;"Nordrhein-Westfalen";18;
"Andrea";"Lindlohr";1975;"GRUENE";261;"Baden-Wuerttemberg";15;
"Christian";"Lindner";1979;"FDP";101;"Nordrhein-Westfalen";9;
"Dietmar";"Lindner";1945;"FAMILIE";;"Bayern";14;
"Dr. Martin";"Lindner";1964;"FDP";77;"Berlin";1;
"Tobias";"Lindner";1982;"GRUENE";212;"Rheinland-Pfalz";6;
"Dr. Hildegard";"Lingnau";1964;"GRUENE";198;;;
"Heinz Werner";"Link";1957;"BP";254;;;
"Dr. Manfred";"Link";1941;"RRP";253;"Bayern";3;
"Michael Georg";"Link";1963;"FDP";267;"Baden-Wuerttemberg";9;
"Peter Wigbert";"Link";1963;"CDU";;"Niedersachsen";40;
"Dr. Marianne Monika";"Linke";1945;"DIE LINKE";15;;;
"Dr. Carsten";"Linnemann";1977;"CDU";138;;;
"Julia";"Linse";1982;"CDU";;"Rheinland-Pfalz";19;
"Patricia";"Lips";1963;"CDU";187;"Hessen";11;
"Burkhard";"Lischka";1965;"SPD";70;"Sachsen-Anhalt";2;
"Simon";"Lissner";1958;"GRUENE";178;;;
"Uwe";"Litfin";1958;"FWD";;"Brandenburg";5;
"Sven";"Lobeck";1976;"NPD";200;"Rheinland-Pfalz";4;
"Ingeborg Anna";"Lobocki";1946;"DVU";;"Schleswig-Holstein";2;
"Wolfgang";"Loch";1964;"RRP";;"Saarland";5;
"Klemens";"Lockfisch";1961;"NPD";;"Baden-Wuerttemberg";4;
"Alfred";"Loeber";1944;"RENTNER";;"Nordrhein-Westfalen";5;
"Max";"Loeffler";1988;"GRUENE";94;;;
"Oskar";"Loeffler";1960;;295;;;
"Christoph";"Loehr";1983;"PIRATEN";;"Rheinland-Pfalz";5;
"Marlene";"Loehr";1985;"GRUENE";;"Schleswig-Holstein";9;
"Markus Michael Maria";"Loening";1960;"FDP";84;;;
"Johannes";"Loepelmann";1987;"PIRATEN";;"Mecklenburg-Vorpommern";6;
"Norbert";"Loeper";1953;"RRP";;"Niedersachsen";13;
"Bernhard Paul";"Loerch";1946;"oedp";;"Baden-Wuerttemberg";9;
"Wolfgang";"Loercher";1963;"DIE LINKE";175;;;
"Rudolf";"Loercks";1964;"PIRATEN";;"Nordrhein-Westfalen";5;
"Gabriele";"Loesekrug-Moeller";1951;"SPD";47;"Niedersachsen";6;
"Ursula Cornelia";"Loetzer";1950;"DIE LINKE";96;"Nordrhein-Westfalen";1;
"Dr. Gesine";"Loetzsch";1961;"DIE LINKE";87;"Berlin";3;
"Klaus";"Lohfing-Blanke";1958;;190;;;
"Dorothee";"Lohmann";1942;"MLPD";;"Baden-Wuerttemberg";12;
"Roland";"Lohmeier";1945;"RRP";225;;;
"Johannes Hubertus";"Lohmeyer";1964;"FDP";160;;;
"Mario";"Look";1964;"oedp";;"Berlin";2;
"Stefan";"Lorent";1961;"DIE LINKE";;"Baden-Wuerttemberg";12;
"Bernd Gerhard";"Lorenz";1970;"NPD";240;;;
"Gertrud";"Lorenz";1926;"CDU";;"Baden-Wuerttemberg";61;
"Joseph";"Lorenz";1941;"REP";236;;;
"Kathrin";"Lorenz";1969;"CDU";;"Thueringen";15;
"Kurt-Heinz";"Lorsbach";1958;"REP";;"Nordrhein-Westfalen";14;
"Dr. Erwin Georg";"Lotter";1951;"FDP";253;"Bayern";12;
"Hiltrud";"Lotze";1958;"SPD";38;"Niedersachsen";25;
"Klaus";"Louis";1959;"NPD";287;;;
"Gert";"Lowack";1971;"GRUENE";237;"Bayern";18;
"Dr. Jan-Marco";"Luczak";1975;"CDU";82;"Berlin";7;
"Jochen";"Luczak";1950;"GRUENE";88;"Nordrhein-Westfalen";20;
"Gottfried";"Ludewig";1982;"CDU";77;;;
"Felix-Anton";"Ludosan";1969;"FAMILIE";;"Rheinland-Pfalz";4;
"Arne";"Ludwig";1968;"PIRATEN";;"Niedersachsen";6;
"Lars";"Luebbe";1986;"CDU";;"Niedersachsen";44;
"Andreas";"Lueck";1961;"FDP";83;"Berlin";7;
"Karl Heinz";"Lueder";1943;;17;;;
"Kirsten";"Luehmann";1964;"SPD";45;"Niedersachsen";8;
"Jens";"Luetke";1978;"NPD";6;"Schleswig-Holstein";2;
"David";"Lukaßen";1981;"GRUENE";;"Bremen";4;
"Oliver";"Lukner";1970;"FDP";292;"Baden-Wuerttemberg";27;
"Oliver";"Luksic";1979;"FDP";298;"Saarland";1;
"Manfred";"Lurz";1945;"DIE LINKE";136;;;
"Dr. Michael Andreas";"Luther";1956;"CDU";166;"Sachsen";4;
"Hans-Juergen";"Lutz";1948;"Tierschutz";;"Hessen";5;
"Janet";"Lutz";1970;"GRUENE";191;;;
"Thomas";"Lutze";1969;"DIE LINKE";;"Saarland";2;
"Benedikt";"Lux";1981;"GRUENE";80;;;
"Josefa";"Lux";1958;"SPD";;"Nordrhein-Westfalen";38;
"Stefan";"Lux";1959;"NPD";;"Berlin";6;
"Karin";"Maag";1962;"CDU";259;"Baden-Wuerttemberg";8;
"Herbert";"Maar";1946;"RRP";;"Bayern";13;
"Jens";"Maaß";1975;"Tierschutz";;"Berlin";6;
"Simone";"Maaß";1967;"GRUENE";197;;;
"Baerbel Heike";"Macamo";1961;;189;;;
"Wolfgang";"MacGregor";1944;"DIE LINKE";137;;;
"Andrea";"Machleid";1960;"NPD";73;;;
"Karin";"Machner";1940;"NPD";233;;;
"Robert";"Macholdt";1981;"PIRATEN";;"Hamburg";2;
"Dr. Christian Hermann";"Machon";1974;"CSU";;"Bayern";43;
"Hermann";"Mack";1953;"REP";;"Bayern";14;
"Dr. Roland";"Mackert";1951;;266;;;
"Wolfgang";"Maedel";1950;"SPD";;"Schleswig-Holstein";15;
"Eric";"Maencher";1965;"SPD";;"Rheinland-Pfalz";33;
"David";"Maendlen";1988;"PIRATEN";;"Bayern";12;
"Thomas";"Mahlberg";1965;"CDU";116;"Nordrhein-Westfalen";36;
"Franz-Josef";"Mai";1943;"oedp";;"Thueringen";2;
"Susann";"Mai";1967;"oedp";;"Thueringen";7;
"Edeltraud";"Maier";1938;"oedp";;"Baden-Wuerttemberg";5;
"Franz";"Maier";1963;"BueSo";213;"Bayern";5;
"Norbert";"Maier";1970;"CDU";;"Baden-Wuerttemberg";57;
"Sascha Andre";"Maier";1984;"NPD";127;;;
"Bejamin";"Mair";1983;"BP";;"Bayern";28;
"Katrin";"Mair";1981;"CSU";;"Bayern";26;
"Nicole";"Maisch";1981;"GRUENE";169;"Hessen";3;
"Dr. Karl Ernst Thomas";"Maizière de";1954;"CDU";156;"Sachsen";1;
"Thorsten";"Majer";1978;"SPD";266;"Baden-Wuerttemberg";27;
"Eva";"Majewski";1985;"CDU";;"Berlin";11;
"Lydia";"Makhloufi";1973;"BueSo";;"Nordrhein-Westfalen";7;
"Agnes";"Malczak";1985;"GRUENE";294;"Baden-Wuerttemberg";11;
"Dr. Birgit";"Malecha-Nissen";1958;"SPD";6;"Schleswig-Holstein";9;
"Hans-Juergen";"Malirs";1945;"FWD";;"Brandenburg";1;
"Anton";"Maller";1957;"BP";;"Bayern";29;
"Roger";"Mallmenn";1976;"DIE LINKE";201;;;
"Siegfried Heinrich Eduard";"Malsch";1937;"RRP";;"Bayern";18;
"Prof. Bodo";"Manegold";1948;"CDU";;"Berlin";14;
"Ulrich";"Manes";1946;"REP";;"Nordrhein-Westfalen";4;
"Michael";"Mang";1981;"SPD";;"Rheinland-Pfalz";22;
"Sylvia";"Mang";1951;"DIE LINKE";255;"Bayern";15;
"Maria-Barbara";"Mangold-Nietzschmann";1944;;252;;;
"Manuel";"Mann";1979;"NPD";172;;;
"Marco Gérard";"Mantovanelli";1965;"GRUENE";132;"Nordrhein-Westfalen";16;
"Nicolas";"Mantseris";1970;"GRUENE";18;"Mecklenburg-Vorpommern";4;
"Josef";"Manz";1932;"CDU";;"Baden-Wuerttemberg";63;
"Dirk";"Manzewski";1960;"SPD";17;"Mecklenburg-Vorpommern";3;
"Margitta";"Marcian";1946;"Tierschutz";180;"Hessen";1;
"André";"Markau";1964;"NPD";78;;;
"Hans Christian";"Markert";1968;"GRUENE";111;;;
"Alfred";"Market";1953;"REP";;"Bayern";20;
"Steffen";"Marklein";1961;"GRUENE";17;"Mecklenburg-Vorpommern";6;
"Caren";"Marks";1963;"SPD";44;"Niedersachsen";12;
"Yvonne";"Marmann";1976;"CDU";;"Rheinland-Pfalz";20;
"Ralf";"Marohn";1967;"FDP";208;"Rheinland-Pfalz";9;
"Rainer";"Marschall";1953;"NPD";207;;;
"Frank";"Marschner";1957;"NPD";185;"Hessen";10;
"Anke";"Martens";1954;"NPD";;"Hamburg";6;
"Axel";"Martin";1983;"PIRATEN";;"Niedersachsen";9;
"Guenter";"Martin";1954;;92;;;
"Paula";"Martin";1938;"PBC";;"Bayern";10;
"Richard";"Martin";1933;"PBC";;"Bayern";5;
"Guido";"Martini";1973;"RRP";;"Saarland";4;
"Hans-Robert";"Martini";1944;"RRP";;"Saarland";2;
"Thomas";"Marwein";1958;"GRUENE";284;;;
"Hans-Georg";"Marwitz von der";1961;"CDU";60;"Brandenburg";5;
"Peter";"Marx";1956;"NPD";296;;;
"Reinhard Helmut Anton";"Maßberg";1947;"BueSo";230;"Bayern";4;
"Norbert";"Maßon";1957;"DIE LINKE";273;;;
"Katja";"Mast";1971;"SPD";279;"Baden-Wuerttemberg";13;
"Dr. Willi Alfred";"Mast";1947;"MLPD";;"Nordrhein-Westfalen";10;
"Ralf";"Matheis";1969;;289;;;
"Gert";"Mathiesen";1938;"VIOLETTEN";;"Bayern";15;
"Danny";"Matschke";1975;"NPD";82;;;
"Andreas";"Mattfeldt";1969;"CDU";35;"Niedersachsen";28;
"Hildegard";"Mattheis";1954;"SPD";291;"Baden-Wuerttemberg";5;
"Marcella";"Matthes";1983;"FDP";;"Hessen";23;
"Detlef";"Matthiessen";1954;"GRUENE";4;"Schleswig-Holstein";6;
"Guenter";"Matthiessen";1947;"DIE LINKE";;"Bremen";2;
"Dietmar Friedrich Heinz Gerd";"Mattiat";1946;"DIE LINKE";41;;;
"Alexandre";"Maturana";1987;"FDP";;"Saarland";11;
"Gerwin";"Matysiak";1953;"SPD";;"Niedersachsen";46;
"Frank Thomas";"Maul";1964;"REP";;"Nordrhein-Westfalen";6;
"Ulrich";"Maurer";1948;"DIE LINKE";259;"Baden-Wuerttemberg";1;
"Michael Hans";"May";1949;"MLPD";;"Nordrhein-Westfalen";6;
"Dr. Oliver Matthias Werner";"May";1967;"FDP";;"Sachsen";13;
"Bernhard";"Mayer";1977;"oedp";;"Bayern";24;
"Dieter";"Mayer";1938;"SPD";;"Hessen";23;
"Erna";"Mayer";1947;"Tierschutz";;"Hessen";6;
"Johann";"Mayer";1960;"GRUENE";235;;;
"Stephan Ernst Johann";"Mayer";1973;"CSU";213;;;
"Markus";"Meckel";1952;"SPD";58;"Brandenburg";9;
"Wolfgang";"Meckelburg";1949;"CDU";124;"Nordrhein-Westfalen";25;
"Axel";"Mehldau";1959;"PIRATEN";;"Brandenburg";1;
"Walter Heinrich Christian";"Mehring";1926;"RRP";48;"Niedersachsen";4;
"Paul";"Meichelboeck";1960;"DIE LINKE";257;;;
"Agnes";"Meier";1965;"FDP";243;"Bayern";19;
"Edmund";"Meier";1959;"MLPD";;"Sachsen-Anhalt";8;
"Rolf";"Meier";1967;"DKP";84;"Berlin";3;
"Sandy";"Meier";1975;"Tierschutz";;"Berlin";2;
"Wolfgang";"Meier";1942;"REP";;"Baden-Wuerttemberg";3;
"Horst";"Meierhofer";1972;"FDP";233;"Bayern";4;
"Andreas";"Meihsies";1960;"GRUENE";38;"Niedersachsen";8;
"Patrick";"Meinhardt";1966;"FDP";272;"Baden-Wuerttemberg";7;
"Wolfgang";"Meischner";1954;"oedp";234;"Bayern";26;
"Ariane Christine";"Meise";1960;"NPD";98;"Nordrhein-Westfalen";14;
"Dr. Michael";"Meister";1961;"CDU";188;"Hessen";7;
"Roland Matthaeus";"Meister";1953;"MLPD";;"Nordrhein-Westfalen";12;
"Albert-Claus";"Meisterjahn";1939;"RENTNER";;"Nordrhein-Westfalen";7;
"Peter";"Meiwald";1966;"GRUENE";28;"Niedersachsen";12;
"Edgar Bernhard Willibald";"Meixner";1964;"FDP";232;"Bayern";18;
"Thomas";"Melber";1965;"REP";;"Baden-Wuerttemberg";19;
"Wilhelm Gerhard";"Melchers";1964;"FDP";11;"Schleswig-Holstein";6;
"Thomas";"Melchinger";1978;"PIRATEN";260;;;
"Christine";"Melo-Plath";1956;"oedp";;"Bayern";25;
"Volker";"Menge";1962;"RRP";;"Bremen";2;
"Karl";"Mennicken-Martensen";1943;"GRUENE";282;;;
"Arend";"Menssen";1966;"FAMILIE";;"Bayern";3;
"Dorothée Luise";"Menzner";1965;"DIE LINKE";52;"Niedersachsen";2;
"Luebbo";"Meppen";1956;"FDP";27;;;
"Monika Manuela Carmen";"Merk";1963;"DIE LINKE";79;;;
"Dr. Angela Dorothea";"Merkel";1954;"CDU";15;"Mecklenburg-Vorpommern";1;
"Michael";"Merkel";1987;;187;;;
"Petra";"Merkel";1947;"SPD";81;"Berlin";2;
"Sabine";"Merkelbach";1966;"FDP";;"Hessen";27;
"Dr. Robert";"Mertel";1940;;221;;;
"Ulrike";"Merten";1951;"SPD";99;"Nordrhein-Westfalen";22;
"Joseph Andreas";"Mertens";1979;"NPD";124;;;
"Bettina";"Mertgen";1977;"CDU";;"Hessen";32;
"Ullrich";"Meßmer";1954;"SPD";168;"Hessen";5;
"Heinz Dirk Karl";"Metzner";1957;"DIE LINKE";;"Niedersachsen";34;
"Barbara";"Meyer";1978;"MLPD";169;"Hessen";2;
"Carsten";"Meyer";1961;"GRUENE";;"Thueringen";4;
"Cora";"Meyer";1979;"NPD";33;;;
"Doris";"Meyer";1957;"CSU";;"Bayern";25;
"Hartmut Heinrich Johann";"Meyer";1956;"oedp";;"Niedersachsen";1;
"Heike";"Meyer";1962;"CDU";;"Hessen";25;
"Henry";"Meyer";1986;"BueSo";;"Brandenburg";4;
"Jens Gerd";"Meyer";1957;"SPD";;"Schleswig-Holstein";19;
"Jessica";"Meyer";1978;"CDU";;"Bremen";5;
"Laurenz";"Meyer";1948;"CDU";146;"Nordrhein-Westfalen";35;
"Maria";"Meyer";1954;"MLPD";;"Schleswig-Holstein";1;
"Michael";"Meyer";1976;"NPD";28;;;
"Reinhardt Wilhelm";"Meyer";1953;"MLPD";118;;;
"Steffen-Werner";"Meyer";1970;"SPD";;"Saarland";14;
"Torsten";"Meyer";1956;"DVU";;"Berlin";1;
"Wolfgang";"Meyer";1941;"Volksabst.";;"Nordrhein-Westfalen";7;
"Andrea Erika Gesche Elisabeth";"Meyer-Garbe";1967;"SPD";;"Niedersachsen";49;
"Leo";"Meyer-Giesow";1970;"oedp";218;"Bayern";27;
"Joachim";"Meyer-Heithius";1955;"DIE LINKE";;"Niedersachsen";15;
"Bernd";"Meyerding";1949;"oedp";;"Hamburg";10;
"Axel";"Michaelis";1965;"NPD";236;"Bayern";7;
"Ursula";"Michalak";1952;"CDU";;"Schleswig-Holstein";18;
"Maria Ludwiga";"Michalk";1949;"CDU";157;"Sachsen";3;
"Dr. Marna";"Michel";1966;"CDU";;"Schleswig-Holstein";23;
"Dr. Charlotte";"Michel-Biegel";1952;"GRUENE";280;;;
"Hans";"Michelbach";1949;"CSU";238;"Bayern";17;
"Matthaeus";"Michlbauer";1966;"BueSo";;"Bayern";12;
"Dr. Mathias";"Middelberg";1964;"CDU";40;"Niedersachsen";14;
"Andrea";"Miehling";1984;"BP";;"Bayern";30;
"Dr. Matthias";"Miersch";1968;"SPD";48;"Niedersachsen";10;
"Walter";"Mini";1952;"DIE LINKE";223;"Bayern";24;
"Wilhelm";"Minschke";1943;"FDP";156;;;
"Richard";"Miosga";1944;"NPD";;"Berlin";9;
"Evmarie-Gertrud";"Mischau";1958;"MLPD";;"Bayern";12;
"Reinhard";"Mischuda";1951;"REP";;"Brandenburg";3;
"Guenter";"Miß";1954;"oedp";228;"Bayern";28;
"Philipp";"Mißfelder";1979;"CDU";122;"Nordrhein-Westfalen";16;
"Kim-Sun";"Mo";1978;"PIRATEN";;"Rheinland-Pfalz";6;
"Kerstin";"Mock-Hofeditz";1966;"GRUENE";;"Schleswig-Holstein";11;
"Mona";"Model";1983;"FDP";;"Hessen";35;
"Klaus-Dieter Alfred August";"Moehle";1952;"GRUENE";56;"Bremen";2;
"Cornelia";"Moehring";1960;"DIE LINKE";5;"Schleswig-Holstein";1;
"Dr. Oliver";"Moellenstaedt";1978;"FDP";56;"Bremen";2;
"Katrin";"Moeller";1967;"DIE LINKE";;"Berlin";11;
"Kornelia";"Moeller";1961;"DIE LINKE";228;"Bayern";3;
"Michael";"Moeller";1962;"ZENTRUM";;"Nordrhein-Westfalen";2;
"Olaf";"Moeller";1962;"GRUENE";194;;;
"Silke";"Moeller";1966;;192;;;
"Jan";"Moenikes";1970;"SPD";265;;;
"Frank";"Moersch";1971;"CDU";;"Rheinland-Pfalz";21;
"Edith";"Moertel";1954;"VIOLETTEN";;"Bayern";4;
"Doris";"Moezer";1948;"VIOLETTEN";;"Bayern";7;
"Ursula";"Mogg";1953;"SPD";200;"Rheinland-Pfalz";10;
"Hans-Juergen Wilhelm";"Mohme";1940;"RRP";;"Niedersachsen";10;
"Sebastian";"Mohr";1982;"PIRATEN";;"Bayern";10;
"Dr. Rita-Maria Marianne Margareta Luzia";"Mohr-Luellmann";1957;"CDU";55;"Bremen";3;
"Claus";"Mohrmann";1969;"FDP";57;"Brandenburg";4;
"Christoph";"Mohs";1971;"BueSo";;"Baden-Wuerttemberg";2;
"Hubertus";"Mohs";1939;"BueSo";258;"Baden-Wuerttemberg";3;
"Helga Gabriele";"Molitor";1962;"FDP";93;"Nordrhein-Westfalen";18;
"Dominik";"Moll";1982;"SPD";;"Saarland";18;
"Viola";"Moll";1952;"CDU";;"Baden-Wuerttemberg";52;
"Dietrich";"Monstadt";1957;"CDU";13;"Mecklenburg-Vorpommern";4;
"Jerzy";"Montag";1947;"GRUENE";220;"Bayern";6;
"Monika";"Moritz";1952;"SPD";;"Saarland";27;
"Adrian";"Mork";1967;"GRUENE";146;;;
"Marlene";"Mortler";1955;"CSU";246;"Bayern";10;
"Volker Peter";"Mosblech";1955;"CDU";117;"Nordrhein-Westfalen";49;
"Christian";"Moser";1977;"CSU";;"Bayern";24;
"Dr. Albrecht";"Moslehner";1956;"FDP";123;;;
"Rudolf";"Motter";1951;"DVU";;"Nordrhein-Westfalen";5;
"Daniel";"Mouratidis";1977;"GRUENE";264;;;
"Niema";"Movassat";1984;"DIE LINKE";118;"Nordrhein-Westfalen";8;
"Holger";"Mrosek";1971;"GRUENE";114;;;
"Jan";"Muecke";1973;"FDP";161;"Sachsen";1;
"Mark";"Muehlbeyer";1986;"CDU";;"Baden-Wuerttemberg";50;
"Dr. Otto Stephan";"Muehleck";1953;"oedp";;"Baden-Wuerttemberg";3;
"Christine";"Muehler-Aumann";1954;"PBC";;"Baden-Wuerttemberg";5;
"Daniel";"Muehlhaeuser";1977;"PBC";;"Bayern";3;
"Jan";"Muehlmann-Skupien";1968;"FDP";63;"Brandenburg";9;
"Marko";"Muehlstein";1974;"SPD";67;"Sachsen-Anhalt";4;
"Adrian";"Mueller";1974;"PIRATEN";;"Schleswig-Holstein";2;
"Alexander";"Mueller";1969;"FDP";178;"Hessen";14;
"Dr. Alice";"Mueller";1976;"CDU";;"Hessen";22;
"Andreas";"Mueller";1964;"DIE LINKE";;"Hessen";10;
"Andreas";"Mueller";1959;"DIE LINKE";89;;;
"Anja";"Mueller";1973;"DIE LINKE";190;"Thueringen";7;
"Dr. Axel";"Mueller";1944;"GRUENE";57;;;
"Bernhard";"Mueller";1951;"DIE LINKE";20;;;
"Carsten";"Mueller";1970;"CDU";51;"Niedersachsen";20;
"Detlef";"Mueller";1964;"SPD";163;"Sachsen";9;
"Farid";"Mueller";1962;"GRUENE";19;;;
"Dr. Gerd";"Mueller";1955;"CSU";256;"Bayern";11;
"Hans";"Mueller";1952;"BueSo";;"Hessen";3;
"Heiko";"Mueller";1972;"PIRATEN";;"Rheinland-Pfalz";2;
"Dr. Josef";"Mueller";1954;"SPD";;"Bayern";54;
"Kerstin";"Mueller";1963;"GRUENE";96;"Nordrhein-Westfalen";9;
"Klaus";"Mueller";1980;"PIRATEN";;"Bayern";2;
"Marcus";"Mueller";1972;"NPD";155;;;
"Michael";"Mueller";1948;"SPD";107;"Nordrhein-Westfalen";20;
"Nadine";"Mueller";1983;"CDU";298;"Saarland";3;
"Nikolas";"Mueller";1947;"RENTNER";;"Nordrhein-Westfalen";1;
"Petra";"Mueller";1960;"FDP";88;"Nordrhein-Westfalen";14;
"Roland";"Mueller";1941;"NPD";293;;;
"Stefan";"Mueller";1975;"CSU";242;"Bayern";9;
"Thomas";"Mueller";1954;"oedp";;"Bayern";5;
"Tino";"Mueller";1978;"NPD";18;"Mecklenburg-Vorpommern";2;
"Veit-Harald";"Mueller";1941;"MLPD";182;"Hessen";1;
"Vincent";"Mueller";1990;"GRUENE";195;"Thueringen";5;
"Beate";"Mueller-Gemmeke";1960;"GRUENE";289;"Baden-Wuerttemberg";5;
"Esther";"Mueller-Horn";1968;"MLPD";;"Nordrhein-Westfalen";18;
"Kai";"Mueller-Horn";1944;"MLPD";107;;;
"Wolfgang";"Mueller-Kallweit";1967;"CDU";24;"Hamburg";6;
"Renate";"Mueller-Loennies";1944;"CDU";;"Schleswig-Holstein";27;
"Burkhardt";"Mueller-Soenksen";1959;"FDP";21;"Hamburg";1;
"Michael";"Muench";1969;"DVU";;"Hessen";1;
"Hans-Joachim";"Muend";1962;"REP";;"Hessen";9;
"Arno";"Muenster";1956;"SPD";;"Hamburg";7;
"Franz";"Muentefering";1940;"SPD";;"Nordrhein-Westfalen";1;
"Susanne";"Muenz";1967;;58;;;
"Volkmar";"Muenz";1965;;18;;;
"Dr. Rolf";"Muetzenich";1959;"SPD";96;"Nordrhein-Westfalen";67;
"Marc";"Mulia";1969;"DIE LINKE";116;"Nordrhein-Westfalen";12;
"Gesine";"Multhaupt";1963;"SPD";28;"Niedersachsen";21;
"Margit";"Munk";1984;"CSU";;"Bayern";30;
"Enno";"Munzel";1990;;80;;;
"Dr. Philipp";"Murmann";1964;"CDU";6;"Schleswig-Holstein";10;
"Michael";"Musil";1947;"GRUENE";205;;;
"Oezcan";"Mutlu";1968;"GRUENE";;"Berlin";4;
"Ralf";"Mynter";1960;"NPD";251;;;
"Georg";"Naegle";1964;;84;;;
"Christof";"Nagel";1986;"CDU";;"Baden-Wuerttemberg";47;
"Erich";"Nagel";1941;;31;;;
"Otto";"Nagel";1942;"NPD";263;;;
"Mike";"Nagler";1978;"DIE LINKE";154;"Sachsen";12;
"Andrea";"Nahles";1970;"SPD";199;"Rheinland-Pfalz";1;
"Renate";"Narayan";1943;"oedp";132;;;
"Juergen";"Nass";1973;;270;;;
"Traugott";"Nassauer";1949;"MLPD";;"Rheinland-Pfalz";2;
"Denny";"Naterski";1980;"NPD";;"Niedersachsen";6;
"Kersten";"Naumann";1958;"DIE LINKE";191;"Thueringen";3;
"Peter";"Naumann";1952;"NPD";162;;;
"Ralph Otto";"Naumann";1961;;84;;;
"Horst-Bruno";"Nehring";1946;"PBC";;"Baden-Wuerttemberg";6;
"Alexander";"Neidlein";1975;"NPD";291;;;
"Wolfgang";"Neskovic";1948;"DIE LINKE";65;"Brandenburg";4;
"Ingrid";"Nestle";1977;"GRUENE";1;"Schleswig-Holstein";1;
"Guenther";"Nestmann";1943;"REP";;"Berlin";4;
"Mona";"Neubaur";1977;"GRUENE";107;;;
"Reinhard";"Neudorfer";1946;"DIE LINKE";264;"Baden-Wuerttemberg";10;
"Anton";"Neumaier";1947;"BP";;"Bayern";31;
"Bernd Otto";"Neumann";1942;"CDU";56;"Bremen";1;
"Bjoern";"Neumann";1978;"DVU";;"Hamburg";2;
"Juergen";"Neumann";1945;"NPD";47;;;
"Prof. Dr. Martin";"Neumann";1956;"FDP";65;"Brandenburg";2;
"Dr. Peter";"Neumann";1956;"CDU";;"Baden-Wuerttemberg";54;
"Reiner";"Neumann";1971;"GRUENE";116;"Nordrhein-Westfalen";28;
"Ute Vibeke";"Neumann";1954;;46;;;
"Anja";"Neumayer";1976;"BP";;"Bayern";32;
"Dr. Franz Josef";"Neumayer";1953;"FDP";;"Bayern";40;
"Andreas";"Neuner";1968;"FDP";244;"Bayern";38;
"Thomas Ulrich";"Neuschwander";1965;"FAMILIE";;"Saarland";2;
"Juergen";"Ney";1940;"REP";;"Nordrhein-Westfalen";8;
"Narziss";"Nianur";1964;"MLPD";;"Hamburg";4;
"Vera";"Niazi-Shahabi";1950;"DIE LINKE";22;;;
"Erika";"Nickel";1950;"CDU";;"Rheinland-Pfalz";32;
"Margarete";"Nickel";1946;"FAMILIE";209;"Rheinland-Pfalz";1;
"Otto Lothar";"Nickel";1937;"FAMILIE";;"Rheinland-Pfalz";8;
"Gabriele Monika Karin";"Nicklis";1957;"PBC";;"Rheinland-Pfalz";4;
"Reinhard Erich";"Nickoleit";1947;"RRP";;"Bayern";20;
"Dirk";"Niebel";1963;"FDP";274;"Baden-Wuerttemberg";2;
"Josef";"Niederlaender";1950;"CM";;"Bayern";4;
