"Vorname";"Nachname";"Jahrgang";"Partei";"Wahlkreis";"Bundesland";"Listenplatz";
"Stefan";"Bannert";1966;"DIE LINKE";248;"Bayern";18;
"Ulrich Gustav";"Bannert";1950;"REP";;"Bayern";25;
"Robin";"Baranski";1977;"SPD";;"Nordrhein-Westfalen";72;
"Heinz-Joachim";"Barchmann";1950;"SPD";52;"Niedersachsen";11;
"Thomas";"Bareiß";1975;"CDU";295;;;
"Rudolf Walter";"Bargmann";1976;"DVU";;"Bremen";1;
"Doris";"Barnett";1953;"SPD";208;"Rheinland-Pfalz";3;
"Daniel Lutz";"Barta";1954;"FDP";;"Hamburg";7;
"Dr. Hans Peter";"Bartels";1961;"SPD";5;"Schleswig-Holstein";6;
"Christian";"Bartelt";1976;"FDP";16;"Mecklenburg-Vorpommern";4;
"Cornelia";"Barth";1958;"DIE LINKE";;"Bremen";7;
"Edith";"Barth";1935;"SPD";;"Saarland";29;
"Steven";"Barth";1988;"PIRATEN";;"Sachsen-Anhalt";2;
"Volker";"Barth";1962;"CDU";;"Baden-Wuerttemberg";30;
"Klaus";"Barthel";1955;"SPD";224;"Bayern";5;
"Norbert";"Barthle";1952;"CDU";269;;;
"Uwe";"Bartholomaeus";1972;"DVU";;"Hamburg";3;
"Anna";"Bartholomé";1949;"MLPD";;"Rheinland-Pfalz";3;
"Soeren";"Bartol";1974;"SPD";172;;;
"Dr. Dietmar";"Bartsch";1958;"DIE LINKE";13;"Mecklenburg-Vorpommern";1;
"Baerbel";"Bas";1968;"SPD";116;"Nordrhein-Westfalen";35;
"Lothar";"Baseler";1935;"NPD";22;"Hamburg";3;
"Michael";"Bathon";1961;"CDU";;"Hessen";37;
"Annegret";"Bauch";1958;"CDU";;"Hessen";39;
"Matthias";"Bauch";1979;"BP";;"Bayern";8;
"Anneliese";"Bauer";1924;"Volksabst.";;"Baden-Wuerttemberg";8;
"Emil";"Bauer";1953;"MLPD";252;"Bayern";4;
"Erich";"Bauer";1954;"FDP";234;"Bayern";53;
"Sebastian-Michael";"Bauer";1987;"PIRATEN";;"Baden-Wuerttemberg";3;
"Andreas";"Baum";1978;"PIRATEN";;"Berlin";3;
"Erika";"Baum";1925;"DKP";;"Berlin";4;
"Helmut Guenter";"Baumann";1947;"CDU";165;;;
"Dr. Albert";"Baumgaertner";1955;"NPD";279;;;
"Alfons";"Baumgartner";1944;"BP";;"Bayern";9;
"Roman";"Baumgartner";1982;"CDU";;"Baden-Wuerttemberg";21;
"Jens";"Baur";1979;"NPD";161;;;
"Yusuf";"Bayrak";1963;;83;;;
"Dr. Arthur";"Bechert";1964;"CSU";;"Bayern";55;
"Birgit";"Beciri";1962;"Tierschutz";;"Hessen";8;
"Ernst-Reinhard";"Beck";1945;"CDU";289;;;
"Juergen";"Beck";1955;;86;;;
"Marieluise";"Beck";1952;"GRUENE";55;"Bremen";1;
"Stefanie";"Beck";1970;"DIE LINKE";209;"Rheinland-Pfalz";5;
"Tobias";"Beck";1985;"FDP";;"Rheinland-Pfalz";16;
"Volker";"Beck";1960;"GRUENE";95;"Nordrhein-Westfalen";2;
"Claudia";"Beck geb. Krauß";1973;"GRUENE";297;;;
"Alexander";"Becker";1982;"CDU";;"Rheinland-Pfalz";39;
"Bernd";"Becker";1958;"SPD";;"Rheinland-Pfalz";31;
"Burkhard";"Becker";1954;"NPD";137;;;
"Dirk";"Becker";1966;"SPD";136;"Nordrhein-Westfalen";33;
"Kurt";"Becker";1953;"SPD";;"Rheinland-Pfalz";28;
"Christa Lydia";"Becker-Lettow";1959;"SPD";;"Nordrhein-Westfalen";66;
"Bert";"Beckmann";1958;"MLPD";;"Mecklenburg-Vorpommern";4;
"Uwe Karl";"Beckmeyer";1949;"SPD";56;"Bremen";1;
"Jochen Heiner";"Beekhuis";1977;"SPD";;"Niedersachsen";42;
"Maximilian";"Beer";1966;"CSU";;"Bayern";54;
"Kirsten";"Beetz";1961;"CDU";;"Rheinland-Pfalz";36;
"Peter";"Befeldt";1955;"SPD";;"Niedersachsen";32;
"Joerg";"Behlen";1968;"FDP";172;"Hessen";17;
"Cornelia";"Behm";1951;"GRUENE";62;"Brandenburg";1;
"Martin";"Behnke";1954;"DIE LINKE";106;;;
"Hans-Peter";"Behrens";1961;"GRUENE";273;;;
"Heidemarie Elisabeth";"Behrens";1954;"DIE LINKE";;"Bremen";5;
"Herbert";"Behrens";1954;"DIE LINKE";35;"Niedersachsen";6;
"Manfred";"Behrens";1956;"CDU";68;"Sachsen-Anhalt";8;
"Matthias";"Behrens";1972;"NPD";36;"Niedersachsen";2;
"Andreas";"Beier";1971;;291;;;
"Dr. Guido";"Beier";1967;"FDP";60;"Brandenburg";3;
"Klaus";"Beier";1966;"NPD";64;"Brandenburg";1;
"Mirko";"Beier";1975;"NPD";152;"Sachsen";6;
"Veronika Maria";"Bellmann";1960;"CDU";162;"Sachsen";7;
"Michael";"Belzner";1948;"REP";;"Baden-Wuerttemberg";8;
"Birgitt";"Bender";1956;"GRUENE";259;"Baden-Wuerttemberg";7;
"Mario";"Bender";1966;"DIE LINKE";;"Saarland";4;
"Anneliese";"Bendigkeit";1943;"CDU";;"Baden-Wuerttemberg";26;
"Edgar";"Benedetto Di";1958;"DIE LINKE";29;"Niedersachsen";32;
"Klaus Uwe";"Benneter";1947;"SPD";80;"Berlin";5;
"Felix";"Bensmann";1985;"FDP";;"Niedersachsen";28;
"Konrad";"Bentz";1920;"NPD";170;;;
"Josef";"Benz";1953;"FDP";273;"Baden-Wuerttemberg";28;
"Karl Hans August";"Benz";1938;"RRP";;"Bayern";9;
"Markus";"Benz";1955;"VIOLETTEN";281;"Baden-Wuerttemberg";1;
"Patrick";"Berberich";1979;"CDU";;"Rheinland-Pfalz";29;
"Miro";"Berbig";1964;"DIE LINKE";8;;;
"Dr. Axel";"Berg";1959;"SPD";218;"Bayern";17;
"Ute";"Berg";1953;"SPD";138;"Nordrhein-Westfalen";17;
"Lars";"Bergen";1975;"CSU";;"Bayern";63;
"Cornelia";"Berger";1956;"NPD";76;;;
"Frank";"Berger";1976;"FDP";255;"Bayern";52;
"Milan";"Berger";1978;"PIRATEN";245;;;
"Dr. Dr. Wolfgang Georg Justus";"Berger";1941;;212;;;
"Volker";"Bergler";1968;"BP";;"Bayern";13;
"Jutta";"Bergmoser";1961;"GRUENE";128;"Nordrhein-Westfalen";27;
"Dr. Christoph";"Bergner";1948;"CDU";73;"Sachsen-Anhalt";1;
"Christian";"Berisha";1967;"NPD";38;;;
